lemma,absolute_women,relative_women,absolute_men,relative_men,delta
Abendland,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Abendveranstaltung,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Abenteuer,4.0,0.00023730422401518748,13.0,0.001305876443997991,-0.0010685722199828035
Abenteuerlust,1.0,5.932605600379687e-05,2.0,0.00020090406830738323,-0.00014157801230358635
Abenteurer,0.0,0.0,5.0,0.0005022601707684581,-0.0005022601707684581
Abfahrt,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Abgang,1.0,5.932605600379687e-05,6.0,0.0006027122049221497,-0.0005433861489183529
Abkühlung,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Abrundung,4.0,0.00023730422401518748,0.0,0.0,0.00023730422401518748
Abschluss,2.0,0.00011865211200759374,1.0,0.00010045203415369161,1.8200077853902126e-05
Absolue,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Absolute,3.0,0.0001779781680113906,3.0,0.00030135610246107485,-0.00012337793444968425
Abstimmung,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Abwechslung,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Accessoir,20.0,0.0011865211200759373,11.0,0.0011049723756906078,8.15487443853295e-05
Accord,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Addictive,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ader,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Adrenalin,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Adventurous,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Afrika,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
After,1.0,5.932605600379687e-05,17.0,0.0017076845806127574,-0.0016483585246089606
Agilität,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Aguilera,12.0,0.0007119126720455624,0.0,0.0,0.0007119126720455624
Aigner,13.0,0.0007712387280493592,14.0,0.0014063284781516826,-0.0006350897501023234
Akigalaholz,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Akkord,14.0,0.0008305647840531562,13.0,0.001305876443997991,-0.00047531165994483485
Akkorde,17.0,0.0010085429520645468,15.0,0.0015067805123053742,-0.0004982375602408274
Akkorden,3.0,0.0001779781680113906,5.0,0.0005022601707684581,-0.00032428200275706753
Akt,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Aktion,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Aktivität,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Akzent,16.0,0.0009492168960607499,11.0,0.0011049723756906078,-0.0001557554796298579
Akzente,3.0,0.0001779781680113906,4.0,0.00040180813661476645,-0.00022382996860337585
Akzenten,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Alge,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Alive,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
All,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
All-time-Favorit,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Allroundtalent,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Alltag,12.0,0.0007119126720455624,3.0,0.00030135610246107485,0.00041055656958448756
Alltagsgelegenheit,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Allzeit-Bestenlist,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Alpenveilch,2.0,0.00011865211200759374,1.0,0.00010045203415369161,1.8200077853902126e-05
Alpenveilche,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Alpenveilchen,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Alter,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Altertum,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Amarenakirsch,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Amber,52.0,0.003084954912197437,29.0,0.002913108990457057,0.0001718459217403801
Amber-Basis,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Amber-Duft,1.0,5.932605600379687e-05,2.0,0.00020090406830738323,-0.00014157801230358635
Amber-Gourmand-Duft,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Amber-Herrenduft,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Amber-Note,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Amberfarbene,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Amberholz,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Ambermischung,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Ambernot,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Amberwood,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Ambition,1.0,5.932605600379687e-05,3.0,0.00030135610246107485,-0.00024203004645727798
Ambra,12.0,0.0007119126720455624,11.0,0.0011049723756906078,-0.0003930597036450454
Ambra-Hölzer,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Ambre,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ambregris,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Ambrettesamen,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ambrox,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Ambroxan,6.0,0.0003559563360227812,1.0,0.00010045203415369161,0.0002555043018690896
Amerika,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Amor,4.0,0.00023730422401518748,0.0,0.0,0.00023730422401518748
Anais,6.0,0.0003559563360227812,0.0,0.0,0.0003559563360227812
Anana,3.0,0.0001779781680113906,8.0,0.0008036162732295329,-0.0006256381052181423
Ananas,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Ananasblätt,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ananassorbet,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Anbau,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anblick,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Andenken,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Andeutung,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Anfang,8.0,0.00047460844803037496,8.0,0.0008036162732295329,-0.00032900782519915795
Angebranntes,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Angeles,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Angenehm,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Angenehmer,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Angst,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anhieb,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anis,3.0,0.0001779781680113906,1.0,0.00010045203415369161,7.752613385769899e-05
Anisster,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Anklang,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Ankläng,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anlass,4.0,0.00023730422401518748,3.0,0.00030135610246107485,-6.405187844588738e-05
Anlaufstelle,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anlaß,2.0,0.00011865211200759374,1.0,0.00010045203415369161,1.8200077853902126e-05
Anlehnung,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Anlässe,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
