lemma,absolute_women,relative_women,absolute_men,relative_men,delta
27424,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
27426,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
28,6.0,7.781293769777455e-05,0.0,0.0,7.781293769777455e-05
287745,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
287746,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
290567,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
290568,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
290569,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
2this,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
2x7ml,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
3,32.0,0.00041500233438813094,8.0,0.0002720163209792588,0.00014298601340887216
3)for,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
3.3,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
30,3.0,3.8906468848887275e-05,10.0,0.00034002040122407346,-0.00030111393237518616
30ml,5.0,6.484411474814545e-05,0.0,0.0,6.484411474814545e-05
30th,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
320759,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
33,72.0,0.0009337552523732946,11.0,0.0003740224413464808,0.0005597328110268137
"33""""this",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
33)-ci,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"33).""""this",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
33).this,0.0,0.0,2.0,6.80040802448147e-05,-6.80040802448147e-05
33)this,1.0,1.2968822949629092e-05,3.0,0.00010200612036722203,-8.903729741759295e-05
33.this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
335958,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
335960,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
33this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
34,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
344815,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
344816,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
344817,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
346451,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
360,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
37,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
38,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
39,15.0,0.00019453234424443637,9.0,0.0003060183611016661,-0.00011148601685722975
3d,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
4,159.0,0.0020620428489910255,62.0,0.0021081264875892555,-4.608363859823e-05
4(ci,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"4)""""this",2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
"4),ci",1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
"4).""""this",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
4).this,5.0,6.484411474814545e-05,1.0,3.400204012240735e-05,3.0842074625738105e-05
4)alcoholperfume,3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
4)ci,9.0,0.00011671940654666182,0.0,0.0,0.00011671940654666182
4)this,5.0,6.484411474814545e-05,0.0,0.0,6.484411474814545e-05
"4,ci",3.0,3.8906468848887275e-05,0.0,0.0,3.8906468848887275e-05
40,17.0,0.00022046999014369457,0.0,0.0,0.00022046999014369457
"40,b",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
407,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
41,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"42053).""""this",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
42090,32.0,0.00041500233438813094,39.0,0.0013260795647738865,-0.0009110772303857555
42090(yum,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
"42090).""""this",2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
